flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Low pocket pair,6,288,12904.94444,0.7591943368055555,0.24080567013888884,X,False,0,0,,,0.0019380955801031837,0.03473684379999984
ABB,Top pair,6,144,11583.644699999997,0.7838980694444445,0.21610193055555557,X,False,0,0,,,0.0017197678747097813,0.01047563655000019
ABB,Air,6,128,2140.3617560000007,0.974409076388889,0.02559092361111111,X,False,0,0,,,0.0003638350352845218,0.01836895928000004
ABB,Second pair,6,54,2922.784,0.9496411111111112,0.050358900000000005,X,False,0,0,,,0.0014471651208401892,0.014253178499999918
ABB,Gutshot,6,572,37226.22091799997,0.5790420899349386,0.420957911713898,X/B,False,0,0,,,0.00362465562937319,0.11076999999999995
ABB,Third pair,6,27,1003.8000999999999,0.6500690277777778,0.3499309722222222,X,False,0,0,,,0.006977024829392636,0.18719999999999998
ABB,Two pair+,6,293,20870.744579999984,0.4558709193376069,0.5441290769586894,B/X,False,0,0,,,0.0013256596343570934,0.03889999999999958
A[K/Q]x,Low pocket pair,14,336,7854.675289999998,0.7007527456065761,0.2992472416950113,X,False,0,0,,,0.0023086308850036284,0.08898999999999972
A[K/Q]x,Top pair,16,912,75744.45389999993,0.7049676644736843,0.2950323421052632,X,False,0,0,,,0.0011325045591962042,0.016721505809999825
A[K/Q]x,Air,16,596,19297.807872,0.8586157014762582,0.14138428377711698,X,False,0,0,,,0.0031969685519297264,0.06265927320000006
A[K/Q]x,Second pair,16,702,44351.897390000006,0.8490083905189482,0.15099160442590495,X,False,0,0,,,0.0008732861345732453,0.015615889739999745
A[K/Q]x,Third pair,12,108,2827.3018739999998,0.1356503777777778,0.8643496347222223,B,False,0,0,,,0.0011107223378271603,0.015455914900000067
A[K/Q]x,Two pair+,16,332,25570.38386,0.3423329144886364,0.6576670982954546,B,False,0,0,,,0.0011398151256955668,0.010585818000001268
A[K/Q]x,Weak pair,16,576,43970.39703999997,0.7207603594328704,0.2792396358672289,X,False,0,0,,,0.0014256764130537647,0.06937218509999958
A[K/Q]x,Gutshot,16,596,32600.32134599996,0.4114039982638889,0.5885960038194444,B/X,False,0,0,,,0.0017119864419090924,0.04803115720000015
ABB,OESD,3,20,733.6622019999999,0.46201870833333336,0.5379812916666667,B/X,False,0,0,,,0.006687040713034868,0.07495999999999974
A[K/Q]x,OESD,2,8,670.182,0.714934375,0.285065625,X,False,0,0,,,0.0004710300908005063,0.0025252514400001757
A[K/Q]x,Underpair,8,48,4201.040999999999,0.9827686874999999,0.01723133333333333,X,False,0,0,,,3.621313241728742e-05,0.0004142975099998836
A[J-T]x,Low pocket pair,14,336,7788.477890000003,0.8544470741213152,0.1455529274659864,X,False,0,0,,,0.0008262863204119729,0.039223640979999884
A[J-T]x,Top pair,16,912,75088.5799000001,0.8228485383771931,0.1771514605263158,X,False,0,0,,,0.00041464292803284296,0.009587688559999207
A[J-T]x,Air,16,620,24721.119764000017,0.9166756727417115,0.08332432660724692,X,False,0,0,,,0.0017717269191884592,0.10559494610999991
A[J-T]x,Gutshot,16,772,47976.737271999955,0.4547361952380952,0.545263804400374,B/X,False,0,0,,,0.0011184277102759019,0.08062637550000033
