flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Low pocket pair,6,288,19969.246199999998,0.8462909375000001,0.15370906250000002,X,False,0,0,,,0.0008210403346967899,0.014623828592999998
ABB,Top pair,6,144,4861.16503,0.7248828819444445,0.2751171319444444,X,False,0,0,,,0.004928178596315823,0.0366552970299999
ABB,Air,6,220,5212.992749999998,0.9153543645502645,0.08464563544973545,X,False,0,0,,,0.002175293347996859,0.018747452252999963
ABB,Second pair,4,21,320.88093999999995,0.8318123749999999,0.168187625,X,False,0,0,,,0.00028667511406960295,0.009106872530000133
ABB,Gutshot,6,334,15574.922329999996,0.6362424348521202,0.3637575614045643,X/B,False,0,0,,,0.004175298039224092,0.1901365
ABB,Two pair+,6,163,9101.973699999999,0.3967965598027376,0.6032034335305958,B/X,False,0,0,,,0.0011477516298720402,0.04443049099999996
ABB,Third pair,5,24,687.63352,0.5105572666666667,0.48944273333333327,X/B,False,0,0,,,0.009717170838470506,0.05023146017999984
A[K/Q]x,Low pocket pair,14,336,20153.136799999993,0.5938091620181405,0.4061908579081633,X/B,False,0,0,,,0.0031539020502923364,0.055777500000000035
A[K/Q]x,Top pair,16,744,32915.83287999999,0.6637442207465277,0.33625578203125006,X,False,0,0,,,0.00544232681185306,0.16126000000000004
A[K/Q]x,Air,16,660,18138.206749999994,0.9089590906905595,0.09104091068497473,X,False,0,0,,,0.0015019830384221328,0.05774244096000007
A[K/Q]x,Second pair,16,330,17310.297659999993,0.8767452436755951,0.12325476066468254,X,False,0,0,,,0.0011256727370919592,0.07394057467999993
A[K/Q]x,Third pair,14,144,4129.96312,0.14864118571428572,0.8513588142857144,B,False,0,0,,,0.0007209429221059026,0.009027934289999706
A[K/Q]x,Two pair+,16,236,13369.13465,0.13205970032387954,0.8679402975315126,B,False,0,0,,,0.0007170293945074008,0.052527723680000804
A[K/Q]x,Weak pair,16,576,49913.75590000002,0.8847758589988425,0.11522413359375,X,False,0,0,,,0.0004693183972924119,0.010806726160000047
