hand_category,ABB,A[K/Q]x,A[J-T]x,A[9-2]x,BBB,BBx,K/Qx,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,B/X,B,B,B,B/X,B,B,B,B,B
Overpair,—,—,—,—,—,B,—,B,B,B
Top pair,X,X,X,X,X/B,X/B,X/B,B,B/X,B
Underpair,—,—,X,X,—,X,X,X/B,X/B,X/B
Second pair,X,X,X,B,—,X,B/X,B/X,B/X,B
Weak pair,—,X,X,X/B,—,X,X,X/B,—,X/B
Third pair,X/B,B,B,B,X,B,X/B,B/X,X/B,B
Low pocket pair,X,X/B,X/B,X/B,X,X,X,B/X,B/X,B
OESD,B,B,B,B,X,B,B,B,B,B
Gutshot,X/B,B,B,B,X,B/X,B,B,B,B
2 overcards + BDFD,—,—,—,—,—,—,—,B,B/X,B/X
Air,X,X,X,X,X,X,X/B,X/B,X/B,B/X
