flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
ABB,Low pocket pair,6,288,11820.396820000005,0.9999182291666666,8.177083333333333e-05,0.0,F,False,0,0,,,0.0,0.0
ABB,Top pair,6,144,2875.8020500000007,0.02425347222222222,0.9349184999999999,0.04082802083333333,C,False,6,6,0.9999999895833332,0.07276041666666666,0.00201275454531802,0.05619412449629999
ABB,Air,6,220,3350.599230999999,0.9982072380952381,0.0017927619047619046,0.0,F,False,6,6,0.0023903492063492063,1.0,0.0,0.0
ABB,Second pair,4,21,280.78433,0.2811704583333333,0.7187072916666667,0.00012225,BDFD,True,4,4,0.9999499375,0.84341125,0.0004715649701643399,0.019747394024399997
ABB,Gutshot,6,334,9802.066693,0.06801351263998645,0.8093873714630985,0.12259912179518355,C,False,6,6,0.9310347628098022,0.06833012177178135,0.010316177979717876,1.0194828
ABB,Two pair+,6,163,4359.694940000001,0.0,0.757531724791523,0.2424682959426041,C,False,6,6,1.0,0.0,0.0009498580772099398,0.020301356400000258
ABB,Third pair,5,24,425.95293999999996,0.3279928,0.6716945333333333,0.00031263333333333336,BDFD,True,5,5,0.95487505,0.8937286,0.0013553907801867186,0.046481613860000014
A[K/Q]x,Low pocket pair,14,336,9154.868199999999,0.87295946638322,0.11188870368480726,0.015151795918367348,F,False,0,0,,,0.0009869302678754026,0.0215348949326
A[K/Q]x,Top pair,16,744,16997.15890999998,0.0,0.9038168905381944,0.09618310269097223,C,False,16,16,0.9999999868055555,0.0,0.0005846169786401324,0.019697509050000405
A[K/Q]x,Air,16,660,8886.097220000016,0.9200099480975622,0.07719505217074592,0.0027949970170454545,F,False,16,16,0.10665339891705516,1.0,0.003890477853462504,0.389243
A[K/Q]x,Second pair,16,330,9309.642479999997,0.0020808715277777774,0.849538917782738,0.1483802085813492,C,False,16,16,0.9999999937499999,0.003121307291666666,0.0009666412446829147,0.029882405189999517
A[K/Q]x,Third pair,14,144,1863.1239600000006,0.00019065119047619045,0.45301099047619037,0.5467983642857145,R/C,False,14,14,1.0,0.0005719535714285715,0.006773166510025845,0.2550899999999999
A[K/Q]x,Two pair+,16,236,5230.1334499999975,0.0,0.5602192140668766,0.4397807689513306,C/R,False,16,16,1.00000003125,0.0,0.005167040158930462,0.16359999999999958
A[K/Q]x,Weak pair,16,576,26189.9424,0.7897894857680224,0.20333859781746033,0.006871910263723545,F,False,0,0,,,0.0008020109172937308,0.0332049769614
A[K/Q]x,Gutshot,16,228,7247.031599999996,0.0,0.6196155640625,0.3803844424479167,C/R,False,16,16,0.9999999947916666,0.0,0.0010895775264120498,0.08170984728999997
ABB,OESD,3,16,135.81041000000002,0.024664500000000002,0.8679117500000001,0.10742375,C,False,3,3,1.0000000000000002,0.09865800000000001,0.003341375669971105,0.01956557133999972
A[K/Q]x,OESD,2,8,152.2798,0.0,0.6290591249999999,0.370940875,C/R,False,2,2,1.0,0.0,0.0,0.0
A[J-T]x,Low pocket pair,14,336,6803.97429,0.9391658937074829,0.05695727494331066,0.0038768392857142855,F,False,0,0,,,0.0005181310638084035,0.0160835894118
A[J-T]x,Top pair,16,792,14229.141599999988,0.0,0.9155477738425926,0.08445222893518518,C,False,16,16,1.0000000104166666,0.0,0.0010292157302224784,0.0488062622399994
A[J-T]x,Air,16,568,6075.905147999998,0.9130096726393399,0.08445469036571068,0.002535627730429293,F,False,16,16,0.1159870907948533,1.0,0.005812297160075036,0.298779529757
A[J-T]x,Gutshot,16,452,9683.613489999996,0.0019360099206349205,0.705868128782242,0.29219585549975197,C,False,16,16,0.9999999861111113,0.003179354513888888,0.0023606911373046375,0.5770908458159999
A[J-T]x,Third pair,14,141,1420.77858,0.015550023809523809,0.5789247313492064,0.4055252507936508,C/R,False,14,14,1.0000000089285714,0.04665007142857142,0.016421269604293166,0.39603740292960005
A[J-T]x,OESD,5,40,468.19416000000007,0.0,0.4792902333333333,0.5207097666666666,R/C,False,5,5,0.9999999999999999,0.0,0.007723833968536861,0.3438200000000002
A[J-T]x,Two pair+,16,222,5099.981959999999,0.0,0.5586280883675181,0.4413719145349587,C/R,False,16,16,1.0,0.0,0.0010940320470423782,0.05240000000000009
A[J-T]x,Weak pair,15,384,16126.660700000002,0.8253393031349207,0.1706489714285714,0.0040117097883597885,F,False,0,0,,,0.0010567518314369341,0.027534691803
A[J-T]x,Second pair,16,207,4948.239230000002,0.011360118402777779,0.6761063326388888,0.31253355208333333,C,False,16,16,1.0000000125000001,0.034080355208333336,0.00527968089510049,0.08921412911999997
A[J-T]x,Underpair,16,144,2895.6229300000005,0.10858226041666667,0.8908473177083334,0.0005704322916666667,C,False,0,0,,,0.010170603237430593,0.052009022354800004
A[9-2]x,Low pocket pair,18,312,4556.930999999999,0.7595499640432098,0.2323484151234568,0.008101635802469136,F,False,0,0,,,0.007436536502488068,0.07429890510539999
A[9-2]x,Top pair,28,1476,22949.41884399999,0.0,0.9717636008597885,0.02823640128968254,C,False,28,28,0.9999999929138321,0.0,7.196705005246934e-05,0.012480447060000089
A[9-2]x,Air,28,1700,28614.892064000025,0.804963479682926,0.19073458863808643,0.004301932141035164,F,False,28,28,0.3107898141606409,0.97614485858454,0.01490462133054984,0.550049190215
A[9-2]x,Gutshot,28,352,3973.993832000002,0.0,0.641119293379622,0.3588806949381703,C/R,False,28,28,0.9999999890873015,0.0,0.017038238828999564,0.38716000000000006
