hand_category,ABB,A[K/Q]x,A[J-T]x,A[9-2]x,BBB,BBx,K/Qx,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,C,C/R,C/R,C,C,R/C,C/R,R/C,R/C,R
Overpair,—,—,—,—,—,C,—,C,C,C
Top pair,C,C,C,C,C,C,C,C,C,C/R
Underpair,—,—,C,C,—,C,C,C,C,C
Second pair,BDFD,C,C,C/R,—,C,C/R,C/R,C,C
Weak pair,—,F,F,F/C,—,F,C/F,C/F,—,C/R
Third pair,BDFD,R/C,C/R,C,BDFD,C/R,C,C,C/R,C
Low pocket pair,F,F,F,F,F,F,F,F/C,F/C,F/R
OESD,C,C/R,R/C,C/R,C,C/R,R/C,R/C,R/C,R/C
Gutshot,C,C/R,C,C/R,C/F,C,R/C,R/C,R/C,C/R
2 overcards + BDFD,—,—,—,—,—,—,—,C/R,C/R,C/F
Air,F,F,F,F,F,F,F/C,F/C,F/C,F/C
