flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
ABB,Weak pair,6,336,16924.158440000014,0.7550007020833333,0.2449993034722222,X,0.001684573935813147,0.03473684379999984
ABB,Top pair,6,288,23202.098700000013,0.711060388888889,0.2889396111111111,X,0.0014515057727506838,0.012880000000000535
ABB,Air,6,128,2140.3617560000007,0.974409076388889,0.02559092361111111,X,0.0003638350352845218,0.01836895928000004
ABB,Second pair,6,198,12612.522190000003,0.7833294420702753,0.21667057264957265,X,0.0014973133055888354,0.024836775200000005
ABB,Gutshot,6,104,4650.5052080000005,0.30974470138888893,0.6902552777777778,B,0.004923735499066123,0.2215399999999999
ABB,Third pair,6,135,6238.61462,0.5135370190476191,0.48646298650793646,X/B,0.006859993859575623,0.13015499999999988
ABB,Two pair+,6,293,20870.744579999984,0.4558709193376069,0.5441290769586894,X/B,0.0013256596343570934,0.03889999999999958
A[K/Q]x,Weak pair,16,912,51825.07232999995,0.7104935289351851,0.2895064667824074,X,0.0015594981398978367,0.08898999999999972
A[K/Q]x,Top pair,16,912,75744.45389999993,0.7049676644736843,0.2950323421052632,X,0.0011325045591962042,0.016721505809999825
A[K/Q]x,Air,16,596,19297.807872,0.8586157014762582,0.14138428377711698,X,0.0031969685519297264,0.06265927320000006
A[K/Q]x,Second pair,16,702,44351.897390000006,0.8490083905189482,0.15099160442590495,X,0.0008732861345732453,0.015615889739999745
A[K/Q]x,Third pair,12,108,2827.3018739999998,0.1356503777777778,0.8643496347222223,B,0.0011107223378271603,0.015455914900000067
A[K/Q]x,Two pair+,16,332,25570.38386,0.3423329144886364,0.6576670982954546,B,0.0011398151256955668,0.010585818000001268
A[K/Q]x,Gutshot,16,596,32600.32134599996,0.4114039982638889,0.5885960038194444,X/B,0.0017119864419090924,0.04803115720000015
ABB,OESD,3,20,733.6622019999999,0.46201870833333336,0.5379812916666667,X/B,0.006687040713034868,0.07495999999999974
ABB,Underpair,3,24,2013.495,0.7422429166666665,0.2577570833333333,X,9.182753115510105e-05,0.001265266869999948
A[K/Q]x,OESD,2,8,670.182,0.714934375,0.285065625,X,0.0004710300908005063,0.0025252514400001757
A[K/Q]x,Underpair,8,48,4201.040999999999,0.9827686874999999,0.01723133333333333,X,3.621313241728742e-05,0.0004142975099998836
A[J-T][9-5],Weak pair,10,450,20313.07309999999,0.9368975124999999,0.0631024875,X,0.000221686167010713,0.025341659999999953
A[J-T][9-5],Top pair,10,570,46449.48280000002,0.8448435947368422,0.15515640000000003,X,0.00027471732256004503,0.009166468360000835
A[J-T][9-5],Air,10,320,13199.751045999994,0.9374005037905846,0.06259949308441558,X,0.0012820448181284404,0.07972627764000002
A[J-T][9-5],Gutshot,10,468,29077.918531999967,0.4872775998809524,0.5127223956944446,X/B,0.001249104375473479,0.08062637550000033
A[J-T][9-5],Third pair,10,111,3429.83699,0.23301541833333336,0.76698459,B,0.0010483552551185178,0.01321959017999994
A[J-T][9-5],OESD,5,84,3031.2139779999998,0.5040118500000002,0.49598813999999997,X/B,0.0006178516386358226,0.012906249840000328
