hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,C,C/R,C/R,C/R,C,C,C,C/R,C/R,C/R,C/R,C/R,R
Overpair,—,—,—,—,—,—,—,C,—,—,C,C,C
Top pair,C,C,C,C,C,C,C,C,C,C,C,C/R,C/R
Underpair,C,—,C,C,C,C,C,C,C,C,C,C,C
Second pair,C,C,C,C,C,C/R,C,C,C/R,C/R,C/R,C/R,C/R
Third pair,C,C/R,C,C/R,C,C,C,C/R,C,C/R,C,C/R,C
Weak pair,F,F,F,F,F,F/C,F,F,F/C,F/C,F/C,F/C,C
OESD,C,C/R,C/R,—,C,C/R,C,C/R,C/R,C/R,C/R,C/R,C/R
Gutshot,C,C/R,C,C/R,C/R,C/R,F/C,C,C/R,C/R,R,C/R,C/R
2 overcards + BDFD,—,—,—,—,—,—,—,—,—,—,C/R,C/R,F/C
Air,F,F,F,F,F,F,F,F,F/C,F,F/C,F/C,F/C
