flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
ABB,Weak pair,6,336,3056.7233560000004,0.9103396370370369,0.08204597098765433,0.007614404012345678,F,0.015956036843239034,0.27213339366399997
ABB,Top pair,6,287,4295.064704,0.15843581582446808,0.8349282720153667,0.006635908687943262,C,0.017576883750730944,0.2985268
ABB,Air,6,128,587.5910020000001,1.0,0.0,0.0,F,0.0,0.0
ABB,Second pair,6,198,2513.0895079999987,0.1763607364672365,0.7980676172839506,0.02557163770180437,C,0.06012793294364294,0.6389370000000001
ABB,Gutshot,6,92,437.41311600000006,0.7398716069271911,0.25839349905106973,0.0017348864734299519,F,0.011987254010919641,0.44634995076000006
ABB,Third pair,6,122,962.6550959999998,0.15407582786596122,0.694838924691358,0.15108522660934742,C,0.04791417892632392,0.6958202
ABB,Two pair+,6,282,2560.1161589999997,0.0,0.9030646610396226,0.09693534204351385,C,0.0002486430732813514,0.06688011330000024
A[K/Q]x,Weak pair,16,910,11809.75637200001,0.7910639418844161,0.2087883483835531,0.0001477144597457627,F,0.005025252156529012,0.3765927360114
A[K/Q]x,Top pair,16,912,16247.947448,0.0,0.9860361589912279,0.013963843201754386,C,1.7537101923244305e-06,0.0015537074999997457
A[K/Q]x,Air,16,595,5130.474149000007,1.0,0.0,0.0,F,0.0,0.0
A[K/Q]x,Second pair,16,702,11369.13735,0.2866861298783937,0.6914945297574158,0.021819339886956383,C,0.0026837446119098796,0.1268627
A[K/Q]x,Two pair+,16,306,2829.375260999999,0.0,0.7480296938883074,0.251970295506878,C,0.002418838128266553,3.7725999999999997
A[K/Q]x,Third pair,12,102,202.72725000000008,0.009782306547619047,0.29359070171957674,0.6966270231481482,R,0.01945342210204295,0.18165999999999993
A[K/Q]x,Gutshot,16,591,4979.344147000004,0.0032006878472222223,0.9250711848162071,0.07172811825005222,C,0.0005772371223915746,0.2764992
ABB,OESD,3,17,122.443276,0.08747325,0.7799084166666667,0.13261837499999998,C,0.002816856471073358,0.1081525086136
ABB,Underpair,3,24,402.48209999999995,0.0,0.9364001111111112,0.06359994444444445,C,5.872085714781726e-05,0.0008339755679999783
A[K/Q]x,OESD,2,8,150.15130000000002,0.0,0.8819686250000001,0.1180315,C,9.230688261682147e-07,7.2074499996688244e-06
A[K/Q]x,Underpair,8,48,1284.6610999999998,0.02263964583333333,0.9773603541666667,0.0,C,0.00016449946302086348,0.006429226964999998
A[J-T][9-5],Weak pair,10,450,6846.875529999994,0.9529212761904763,0.04705042589285714,2.830208333333333e-05,F,0.0012375009853631506,0.0350671501593
A[J-T][9-5],Top pair,10,570,13878.685130000003,0.0,0.9792145456140352,0.020785456140350878,C,3.291634362667734e-05,0.009646852560000242
A[J-T][9-5],Air,10,320,4419.134658999995,1.0,0.0,0.0,F,0.0,0.0
A[J-T][9-5],Gutshot,10,468,5336.141045999997,0.08243011837301589,0.8168682376984127,0.10070162825396826,C,0.005384845972907537,0.405386
A[J-T][9-5],Third pair,10,101,490.834514,0.07264352837301588,0.49710538968253964,0.4302510458333334,C/R,0.010701011691603224,0.19226461547000007
A[J-T][9-5],OESD,5,84,689.1032220000002,0.0,0.53195568,0.46804433,C/R,0.0024060229489925133,0.21043001579000062
A[J-T][9-5],Two pair+,10,201,2687.9750019999997,0.0,0.6813592675133691,0.3186407120588235,C,0.0011709910965763495,0.7979999999999989
A[J-T][9-5],Second pair,10,306,4672.809684000001,0.26533418461279457,0.5707584098653198,0.16390740501683498,F/C,0.204661220450803,1.06639208646
A[J-T][9-5],Underpair,10,150,4347.903099999999,0.15308335833333334,0.8450952472222223,0.001821388888888889,C,0.0021920221407513672,0.0311257090254
A[J-T][4-2],Weak pair,6,270,4229.669745,0.8679401631944446,0.13205984424603176,0.0,F,0.0036801213595553128,0.23392279660199997
A[J-T][4-2],Top pair,6,342,7339.790599999998,0.0,0.989562350877193,0.01043766081871345,C,2.056936766715082e-06,0.0010067349899998135
A[J-T][4-2],Two pair+,6,109,908.9929240000001,0.0,0.6793989972910217,0.3206010114809082,C,0.003262300025831391,2.4131
A[J-T][4-2],Third pair,2,3,0.000612,0.0,0.972229,0.027771,C,0.0,0.0
A[J-T][4-2],Air,6,300,3325.6326289999993,1.0,0.0,0.0,F,0.0,0.0
A[J-T][4-2],Second pair,6,187,2533.1424559999996,0.04898426852394916,0.8050908200553925,0.14592487877158683,C,0.00039836829184061804,0.26211046463999993
A[J-T][4-2],Gutshot,6,302,2633.3392479999993,0.01113533251633987,0.9184309820261435,0.07043367177287582,C,0.00012732002471396134,0.060103568678999866
A[J-T][4-2],Underpair,6,90,2481.4023999999995,0.0459505,0.9539991805555555,5.0333333333333335e-05,C,0.0001951388159948015,0.0046270729608
A[9-7]x,Weak pair,18,552,5170.599463999993,0.5436251600308643,0.4458872040123456,0.010487644753086419,F/C,0.04203897140997201,0.45767689999999994
A[9-7]x,Top pair,18,1188,27376.761690000076,0.0007881624579124579,0.9968835505050505,0.0023282887205387202,C,1.7918685671007061e-07,0.00013046800000040548
A[9-7]x,Air,18,1968,30734.127301999968,0.8562511407942633,0.1368440402221161,0.00690481586624165,F,0.015879636579326846,0.6370827629790001
A[9-7]x,Gutshot,16,128,791.8462309999999,0.0,0.8659063368055556,0.13409364583333336,C,0.0003207519956361634,0.1697135759200002
A[9-7]x,OESD,7,37,213.01796299999998,0.0,0.9029296750000001,0.09707032500000001,C,5.231880609840988e-05,0.0053114919999998735
A[9-7]x,Third pair,12,88,264.7381489999999,0.005237931818181819,0.5225413394570706,0.47222063150252525,C/R,0.02643585659037454,0.12790627563
A[9-7]x,Two pair+,18,202,2369.1859959999997,0.0,0.8731147878510379,0.12688521343101342,C,3.665157150188334e-05,0.06366646865999996
A[9-7]x,Second pair,18,228,1833.2094550000006,0.002500819444444444,0.579441286419753,0.41805790061728393,C/R,0.008404037200829936,0.22962500000000005
A[9-7]x,Underpair,18,528,14541.177000000001,0.007837631944444444,0.9875584825617284,0.004603878086419754,C,0.00011022100009311891,0.025619601984000002
A[6-2]x,Weak pair,9,112,148.74018499999997,0.0957445864197531,0.780250860670194,0.12400459964726629,C,0.003387533524868553,0.0515034459576
A[6-2]x,Top pair,10,660,14940.235879999998,0.0,0.9938035015151513,0.006196492424242423,C,0.0,0.0
A[6-2]x,Third pair,2,9,17.96035,0.0,0.34297666666666665,0.6570233333333333,R,0.04592734116726334,0.07944776453000006
