flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A-high high,Weak pair,22,1248,49255.58982000003,0.8488918363005051,0.13920043853114478,0.011907719023569024,F,0.005837342971800812,0.703138382096
A-high high,Top pair,22,996,22990.519529999998,0.003860610606060606,0.9128993776757963,0.08324000527874903,C,0.000689759567981129,0.05619412449629999
A-high high,Air,22,880,12236.696451000003,0.941336481733292,0.05663079118911392,0.002032725103305785,F,0.002825204055404968,0.389243
A-high high,Second pair,22,423,12091.532339999992,0.019522600108225107,0.8396659718073594,0.1408114285714286,C,0.0019353986729222603,0.2305447
A-high high,Gutshot,22,292,8032.789222999995,0.06631710416666667,0.6299431015151514,0.3037398056818182,C/R,0.017377027627531755,1.2815667999999998
A-high high,Two pair+,22,399,9589.82839,0.0,0.6140317169917803,0.38596827631258707,C/R,0.0033550924372183536,0.16359999999999958
A-high high,Third pair,20,204,3568.9805800000013,0.03697746416666667,0.5379903072222223,0.42503222305555566,C/R,0.025040228200280762,0.74573135
A-high high,OESD,5,24,288.09020999999996,0.014798700000000001,0.7723707,0.21283060000000004,C,0.006331980186428164,0.01956557133999972
A-high high,Underpair,1,6,27.358890000000002,0.0,0.6735056666666667,0.32649433333333333,C,0.0003977965551859579,0.0023475059199999037
A-high medium,Weak pair,16,720,22930.63498999999,0.8969485146949406,0.09920762351190476,0.003843856770833333,F,0.0008969323647452021,0.027534691803
A-high medium,Top pair,16,792,14229.141599999988,0.0,0.9155477738425926,0.08445222893518518,C,0.0010292157302224784,0.0488062622399994
A-high medium,Air,16,568,6075.905147999998,0.9130096726393399,0.08445469036571068,0.002535627730429293,F,0.005812297160075036,0.298779529757
A-high medium,Gutshot,16,452,9683.613489999996,0.0019360099206349205,0.705868128782242,0.29219585549975197,C,0.0023606911373046375,0.5770908458159999
A-high medium,Third pair,14,141,1420.77858,0.015550023809523809,0.5789247313492064,0.4055252507936508,C/R,0.016421269604293166,0.39603740292960005
A-high medium,OESD,5,40,468.19416000000007,0.0,0.4792902333333333,0.5207097666666666,R/C,0.007723833968536861,0.3438200000000002
A-high medium,Two pair+,16,222,5099.981959999999,0.0,0.5586280883675181,0.4413719145349587,C/R,0.0010940320470423782,0.05240000000000009
A-high medium,Second pair,16,207,4948.239230000002,0.011360118402777779,0.6761063326388888,0.31253355208333333,C,0.00527968089510049,0.08921412911999997
