"index","board","decision_node","status","output_directory","combos","iteration","exploitability","elapsed_ms","error"
"1","As Kh Qd","UTG_OOP_CBET","done","0001_As_Kh_Qd","250","145","483873814344406","17068",""
"2","As Kh Jd","UTG_OOP_CBET","done","0002_As_Kh_Jd","253","140","4942527115345","15132",""
"3","As Kh Td","UTG_OOP_CBET","done","0003_As_Kh_Td","252","150","470507711172104","16354",""
"4","As Kh 9d","UTG_OOP_CBET","done","0004_As_Kh_9d","259","140","498984426259995","15619",""
"5","As Kh 8d","UTG_OOP_CBET","done","0005_As_Kh_8d","259","137","464913308620453","16291",""
"6","As Kh 7d","UTG_OOP_CBET","done","0006_As_Kh_7d","261","140","483700305223465","15647",""
"7","As Kh 6d","UTG_OOP_CBET","done","0007_As_Kh_6d","260","140","484129846096039","16059",""
"8","As Kh 5d","UTG_OOP_CBET","done","0008_As_Kh_5d","261","137","470813602209091","15843",""
"9","As Kh 4d","UTG_OOP_CBET","done","0009_As_Kh_4d","263","137","473791629076004","16169",""
"10","As Kh 3d","UTG_OOP_CBET","done","0010_As_Kh_3d","264","137","46992152929306","15257",""
"11","As Kh 2d","UTG_OOP_CBET","done","0011_As_Kh_2d","264","137","498139292001724","16176",""
"12","As Qh Jd","UTG_OOP_CBET","done","0012_As_Qh_Jd","257","129","472518861293793","14722",""
"13","As Qh Td","UTG_OOP_CBET","done","0013_As_Qh_Td","256","137","457861959934235","15563",""
"14","As Qh 9d","UTG_OOP_CBET","done","0014_As_Qh_9d","263","137","473327994346619","15879",""
"15","As Qh 8d","UTG_OOP_CBET","done","0015_As_Qh_8d","263","137","465749770402908","15601",""
"16","As Qh 7d","UTG_OOP_CBET","done","0016_As_Qh_7d","265","145","493730932474136","16736",""
"17","As Qh 6d","UTG_OOP_CBET","done","0017_As_Qh_6d","264","150","490589499473572","16606",""
"18","As Qh 5d","UTG_OOP_CBET","done","0018_As_Qh_5d","265","145","498115450143814","16558",""
"19","As Qh 4d","UTG_OOP_CBET","done","0019_As_Qh_4d","267","145","491812974214554","17052",""
"20","As Qh 3d","UTG_OOP_CBET","done","0020_As_Qh_3d","268","137","496826171875","16239",""
"21","As Qh 2d","UTG_OOP_CBET","done","0021_As_Qh_2d","268","137","48680192232132","15795",""
"22","As Jh Td","UTG_OOP_CBET","done","0022_As_Jh_Td","258","129","465262860059738","14655",""
"23","As Jh 9d","UTG_OOP_CBET","done","0023_As_Jh_9d","266","137","459552377462387","15654",""
"24","As Jh 8d","UTG_OOP_CBET","done","0024_As_Jh_8d","266","129","47674897313118","15200",""
"25","As Jh 7d","UTG_OOP_CBET","done","0025_As_Jh_7d","268","140","492962300777435","15815",""
"26","As Jh 6d","UTG_OOP_CBET","done","0026_As_Jh_6d","267","145","495256811380386","16637",""
"27","As Jh 5d","UTG_OOP_CBET","done","0027_As_Jh_5d","268","137","46154460310936","16142",""
"28","As Jh 4d","UTG_OOP_CBET","done","0028_As_Jh_4d","270","129","468123137950897","15505",""
"29","As Jh 3d","UTG_OOP_CBET","done","0029_As_Jh_3d","271","129","474766045808792","15165",""
"30","As Jh 2d","UTG_OOP_CBET","done","0030_As_Jh_2d","271","129","488921850919724","14787",""
"31","As Th 9d","UTG_OOP_CBET","done","0031_As_Th_9d","265","137","461973160505295","15715",""
"32","As Th 8d","UTG_OOP_CBET","done","0032_As_Th_8d","265","129","473737984895706","15120",""
"33","As Th 7d","UTG_OOP_CBET","done","0033_As_Th_7d","267","137","489941298961639","16144",""
"34","As Th 6d","UTG_OOP_CBET","done","0034_As_Th_6d","266","140","490345865488052","15829",""
"35","As Th 5d","UTG_OOP_CBET","done","0035_As_Th_5d","267","140","483931601047516","15764",""
"36","As Th 4d","UTG_OOP_CBET","done","0036_As_Th_4d","269","137","477509677410126","15626",""
"37","As Th 3d","UTG_OOP_CBET","done","0037_As_Th_3d","270","140","482140332460403","16198",""
"38","As Th 2d","UTG_OOP_CBET","done","0038_As_Th_2d","270","137","498353689908981","16185",""
"39","As 9h 8d","UTG_OOP_CBET","done","0039_As_9h_8d","273","137","465579926967621","16337",""
"40","As 9h 7d","UTG_OOP_CBET","done","0040_As_9h_7d","275","120","491028100252151","14696",""
"41","As 9h 6d","UTG_OOP_CBET","done","0041_As_9h_6d","274","129","492069959640503","14765",""
"42","As 9h 5d","UTG_OOP_CBET","done","0042_As_9h_5d","275","137","481622189283371","15251",""
"43","As 9h 4d","UTG_OOP_CBET","done","0043_As_9h_4d","277","137","476158142089844","16260",""
"44","As 9h 3d","UTG_OOP_CBET","done","0044_As_9h_3d","278","137","487818509340286","16272",""
"45","As 9h 2d","UTG_OOP_CBET","done","0045_As_9h_2d","278","137","491094172000885","16774",""
"46","As 8h 7d","UTG_OOP_CBET","done","0046_As_8h_7d","275","120","478286027908325","14745",""
