"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","bet_frequency","ev_check","ev_bet","mixed_ev"
"As Kh Qd","1","UTG_OOP_CBET","UTG","2c2d","5.17972","1","0","17.9595","17.4946","17.9595"
"As Kh Qd","1","UTG_OOP_CBET","UTG","2c2h","5.17972","1","0","17.9535","17.4823","17.9535"
"As Kh Qd","1","UTG_OOP_CBET","UTG","2c2s","5.18493","1","0","17.9478","17.35","17.9478"
"As Kh Qd","1","UTG_OOP_CBET","UTG","2cAc","66.6443","0.803739","0.196261","29.5889","29.4125","29.5542795596"
"As Kh Qd","1","UTG_OOP_CBET","UTG","2d2h","5.17972","0.999957","4.3E-05","18.0759","17.7804","18.0758872935"
"As Kh Qd","1","UTG_OOP_CBET","UTG","2d2s","5.18493","1","0","18.1114","17.6595","18.1114"
"As Kh Qd","1","UTG_OOP_CBET","UTG","2dAd","66.1471","0.920547","0.079453","34.7898","34.6395","34.7778582141"
"As Kh Qd","1","UTG_OOP_CBET","UTG","2h2s","5.18493","1","0","18.1043","17.6442","18.1043"
"As Kh Qd","1","UTG_OOP_CBET","UTG","2hAh","66.4435","0.93931","0.06069","34.3783","34.2452","34.370222161000008"
"As Kh Qd","1","UTG_OOP_CBET","UTG","3c3d","6.23023","1","0","18.198","17.6092","18.198"
"As Kh Qd","1","UTG_OOP_CBET","UTG","3c3h","6.23023","1","0","18.1847","17.6743","18.1847"
"As Kh Qd","1","UTG_OOP_CBET","UTG","3c3s","6.26545","1","0","18.0014","17.2747","18.0014"
"As Kh Qd","1","UTG_OOP_CBET","UTG","3cAc","85.663","0.778462","0.221538","29.4526","29.3328","29.4260597476"
"As Kh Qd","1","UTG_OOP_CBET","UTG","3d3h","6.23023","1","0","18.3412","17.967","18.3412"
"As Kh Qd","1","UTG_OOP_CBET","UTG","3d3s","6.26545","1","0","18.2027","17.6708","18.2027"
"As Kh Qd","1","UTG_OOP_CBET","UTG","3dAd","85.024","0.865008","0.134992","34.639","34.5202","34.6229629504"
"As Kh Qd","1","UTG_OOP_CBET","UTG","3h3s","6.26545","1","0","18.1931","17.7424","18.1931"
"As Kh Qd","1","UTG_OOP_CBET","UTG","3hAh","85.405","0.872866","0.127134","34.2263","34.13","34.2140569958"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4c4d","11.4004","1","0","17.5688","17.0241","17.5688"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4c4h","11.4004","1","0","17.5653","17.084","17.5653"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4c4s","11.4673","1","0","17.4453","16.6829","17.4453"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4c5c","22.6573","1","0","14.5924","13.254","14.5924"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4cAc","85.092","0.765019","0.234981","29.2148","29.1096","29.1900799988"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4d4h","11.4004","1","0","17.9371","17.375","17.9371"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4d4s","11.4673","1","0","17.8811","17.0836","17.8811"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4d5d","22.6573","1","0","16.3658","15.6243","16.3658"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4dAd","84.453","0.810183","0.189817","34.4157","34.3159","34.3967562634"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4h4s","11.4673","1","0","17.8722","17.1499","17.8722"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4h5h","22.6573","1","0","16.4845","15.831","16.4845"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4hAh","84.834","0.816562","0.183438","34.0028","33.9145","33.9866024246"
"As Kh Qd","1","UTG_OOP_CBET","UTG","4s5s","22.9418","1","0","16.5821","15.5769","16.5821"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5c5d","20.4962","0.999938","6.2E-05","16.608","16.3894","16.607986446800002"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5c5h","20.4962","0.99991","9E-05","16.6894","16.4385","16.689377419"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5c5s","20.6338","1","0","16.4762","16.0187","16.4762"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5c6c","22.9279","1","0","12.9935","11.113","12.9935"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5cKc","41.6243","1","0","23.7944","22.9284","23.7944"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5cAc","84.443","0.697585","0.302415","28.8664","28.8497","28.861349669499997"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5d5h","20.4962","1","0","17.1378","16.7259","17.1378"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5d5s","20.6338","1","0","16.9623","16.4277","16.9623"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5d6d","22.9279","1","0","14.7962","13.3826","14.7962"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5dKd","41.8256","0.999729","0.000271","25.7959","25.6279","25.795854472"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5dAd","83.804","0.737724","0.262276","34.1459","34.0932","34.132078054800004"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5h5s","20.6338","1","0","16.9665","16.4987","16.9665"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5h6h","22.9478","1","0","14.9289","13.4838","14.9289"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5hAh","84.185","0.786613","0.213387","33.7763","33.6987","33.7597411688"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5s6s","23.0982","1","0","15.0234","13.5732","15.0234"
"As Kh Qd","1","UTG_OOP_CBET","UTG","5sKs","41.7861","0.999995","5E-06","27.6479","27.1608","27.6478975645"
