"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","bet_frequency","ev_check","ev_bet","mixed_ev"
"As Kh Qd","1","BTN_STAB","BTN","2c2d","45.5684","0.774687","0.225313","7.01067","6.96306","6.9999428480700008"
"As Kh Qd","1","BTN_STAB","BTN","2c2h","45.5627","0.758724","0.241276","7.00325","6.95107","6.99066021832"
"As Kh Qd","1","BTN_STAB","BTN","2c2s","45.847","0.454387","0.545613","7.09757","7.29224","7.2037844827100006"
"As Kh Qd","1","BTN_STAB","BTN","2cAc","9.57307","0.996497","0.003503","32.9761","32.8494","32.9756561699"
"As Kh Qd","1","BTN_STAB","BTN","2d2h","45.5274","0.560721","0.439279","7.2462","7.28262","7.26219854118"
"As Kh Qd","1","BTN_STAB","BTN","2d2s","45.8117","0.448432","0.551568","7.37528","7.48455","7.43554983536"
"As Kh Qd","1","BTN_STAB","BTN","2dAd","9.55004","0.663322","0.336678","37.8377","37.8858","37.8538942118"
"As Kh Qd","1","BTN_STAB","BTN","2h2s","45.806","0.424719","0.575281","7.34973","7.47249","7.42035149556"
"As Kh Qd","1","BTN_STAB","BTN","2hAh","9.55202","0.636531","0.363469","37.4738","37.5836","37.5137088962"
"As Kh Qd","1","BTN_STAB","BTN","3c3d","42.1578","0.882945","0.117055","6.89997","6.85585","6.8948055334"
"As Kh Qd","1","BTN_STAB","BTN","3c3h","42.1549","0.861377","0.138623","6.89502","6.84866","6.8885934377199991"
"As Kh Qd","1","BTN_STAB","BTN","3c3s","42.47","0.436917","0.563083","6.97733","7.23704","7.12356828593"
"As Kh Qd","1","BTN_STAB","BTN","3c5c","9.46345","1","0","2.46747","1.15656","2.46747"
"As Kh Qd","1","BTN_STAB","BTN","3cAc","53.3023","0.939083","0.060917","32.6303","32.637","32.6307081439"
"As Kh Qd","1","BTN_STAB","BTN","3d3h","42.1237","0.569514","0.430486","7.18658","7.22279","7.202167898059999"
"As Kh Qd","1","BTN_STAB","BTN","3d3s","42.4388","0.451868","0.548132","7.31572","7.43501","7.3811066662799991"
"As Kh Qd","1","BTN_STAB","BTN","3d5d","9.45307","0.472324","0.527676","5.71897","5.8956","5.81217341188"
"As Kh Qd","1","BTN_STAB","BTN","3dAd","53.174","0.673628","0.326372","37.5204","37.5664","37.535413112"
"As Kh Qd","1","BTN_STAB","BTN","3h3s","42.4359","0.421456","0.578544","7.29505","7.43351","7.37515520224"
