"board","board_index","decision_node","acting_player","combo","reach_probability","fold_frequency","call_frequency","raise_frequency","ev_fold","ev_call","ev_raise","mixed_ev"
"As Kh Qd","1","BTN_RESPONSE","BTN","2c2d","21.5341","1","0","0","0","-2.340099","-7.033779","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","2c2h","21.5398","1","0","0","0","-2.448059","-7.092598","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","2c2s","21.5581","1","0","0","0","-2.645523","-7.055473","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","2cAc","4.4132","0","0.8702","0.1298","0","1.90266","1.98598","1.913474936"
"As Kh Qd","1","BTN_RESPONSE","BTN","2d2h","21.5751","1","0","0","0","-1.769855","-6.349533","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","2d2s","21.5935","1","0","0","0","-1.96452","-6.309528","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","2dAd","4.43623","0","0.680345","0.319655","0","10.1755","10.4647","10.267944226"
"As Kh Qd","1","BTN_RESPONSE","BTN","2h2s","21.5992","1","0","0","0","-2.070328","-6.371853","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","2hAh","4.43425","0","0.712124","0.287876","0","11.3288","11.589","11.4037053352"
"As Kh Qd","1","BTN_RESPONSE","BTN","3c3d","19.9328","1","0","0","0","-2.651787","-7.442368","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","3c3h","19.9356","1","0","0","0","-2.762794","-7.484131","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","3c3s","19.9815","1","0","0","0","-2.910294","-7.328724","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","3c5c","4.51394","1","0","0","0","-9.978249","-16.476318","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","3cAc","24.5811","0","0.895143","0.104857","0","1.47029","1.47647","1.47093801626"
"As Kh Qd","1","BTN_RESPONSE","BTN","3d3h","19.9669","1","0","0","0","-2.059273","-6.78241","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","3d3s","20.0128","1","0","0","0","-2.204483","-6.635166","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","3d5d","4.52432","1","0","0","0","-5.781197","-9.926975","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","3dAd","24.7093","0","0.770078","0.229922","0","9.76208","9.83313","9.7784159581"
"As Kh Qd","1","BTN_RESPONSE","BTN","3h3s","20.0156","1","0","0","0","-2.311249","-6.672375","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","3h5h","4.52898","1","0","0","0","-5.365974","-9.698372","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","3hAh","24.6983","0","0.794881","0.205119","0","10.8729","10.9718","10.8931862691"
"As Kh Qd","1","BTN_RESPONSE","BTN","3s5s","4.55691","1","0","0","0","-4.114281","-7.76107","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4c4d","21.342","1","0","0","0","-2.612755","-7.56686","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4c4h","21.3444","1","0","0","0","-2.734642","-7.604885","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4c4s","21.4154","1","0","0","0","-2.885506","-7.350971","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4c5c","29.3885","1","0","0","0","-9.983498","-16.517437","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4c6c","2.24595","1","0","0","0","-11.773003","-21.050587","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4cAc","25.198","0","0.888945","0.111055","0","1.4911","1.47647","1.48947526535"
"As Kh Qd","1","BTN_RESPONSE","BTN","4d4h","21.3619","1","0","0","0","-2.0224","-6.93465","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4d4s","21.4329","1","0","0","0","-2.175137","-6.679028","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4d5d","29.434","1","0","0","0","-5.727119","-10.048279","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4d6d","2.24979","1","0","0","0","-8.077972","-14.609386","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4dAd","25.3294","0","0.789516","0.210484","0","9.78832","9.83629","9.79841691748"
"As Kh Qd","1","BTN_RESPONSE","BTN","4h4s","21.4354","1","0","0","0","-2.2929","-6.720222","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4h5h","29.4635","1","0","0","0","-5.324581","-9.821678","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4h6h","2.2534","1","0","0","0","-7.539444","-14.315609","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4hAh","25.3181","0","0.80417","0.19583","0","10.9011","10.9734","10.915258509"
"As Kh Qd","1","BTN_RESPONSE","BTN","4s5s","29.6755","1","0","0","0","-4.134121","-7.785549","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","4s6s","2.26904","1","0","0","0","-6.550224","-12.323887","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5c5d","24.9733","1","0","0","0","-2.660507","-7.859337","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5c5h","24.9955","1","0","0","0","-2.813564","-7.820221","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5c5s","25.0924","1","0","0","0","-2.967777","-7.505001","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5c6c","19.8604","1","0","0","0","-11.776928","-21.209427","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5c7c","2.36252","1","0","0","0","-12.631588","-23.470112","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5cAc","28.3774","0","0.899012","0.100988","0","1.47209","1.48034","1.472923151"
"As Kh Qd","1","BTN_RESPONSE","BTN","5d5h","25.0137","1","0","0","0","-2.0051","-7.201897","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5d5s","25.1106","1","0","0","0","-2.162571","-6.890865","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5d6d","19.8925","1","0","0","0","-7.984943","-14.768414","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5d7d","2.36907","1","0","0","0","-8.878338","-16.769985","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5dAd","28.5254","0","0.802522","0.197478","0","9.77587","9.81862","9.7843121845"
"As Kh Qd","1","BTN_RESPONSE","BTN","5h5s","25.1328","1","0","0","0","-2.307873","-6.858475","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5h6h","19.94","1","0","0","0","-7.495209","-14.387211","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5h7h","2.37387","1","0","0","0","-8.546436","-16.416279","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5hAh","28.5127","0","0.812434","0.187566","0","10.875","10.9593","10.8908118138"
"As Kh Qd","1","BTN_RESPONSE","BTN","5s6s","20.0893","1","0","0","0","-6.546448","-12.330055","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","5s7s","2.38657","1","0","0","0","-7.312382","-14.566978","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","6c6d","37.8337","1","0","0","0","-2.561668","-8.559879","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","6c6h","37.8776","1","0","0","0","-2.65062","-8.502819","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","6c6s","38.0125","1","0","0","0","-2.943794","-8.182709","0"
"As Kh Qd","1","BTN_RESPONSE","BTN","6c7c","21.2151","1","0","0","0","-12.76302","-24.008068","0"
