"board","board_index","decision_node","acting_player","combo","reach_probability","fold_frequency","call_frequency","raise_frequency","ev_fold","ev_call","ev_raise","mixed_ev"
"As Kh Qd","1","UTG_RESPONSE","UTG","2c2d","1.53238","1","0","0","0","-4.897907","-13.248089","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","2c2h","1.53172","1","0","0","0","-4.863918","-13.388092","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","2c2s","1.53117","1","0","0","0","-4.833317","-13.513359","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","2cAc","15.3321","0.784342","0.215658","0","0","0.111057","-1.811199","0.023950330506"
"As Kh Qd","1","UTG_RESPONSE","UTG","2d2h","1.52979","1","0","0","0","-4.544994","-12.949051","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","2d2s","1.52512","1","0","0","0","-4.658718","-13.379841","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","2dAd","17.0653","0","0.999422","0.000578","0","7.32655","5.98612","7.3257752314600006"
"As Kh Qd","1","UTG_RESPONSE","UTG","2h2s","1.52464","1","0","0","0","-4.636139","-13.507633","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","2hAh","17.5749","0","0.999053","0.000947","0","6.97132","5.62972","6.9700495048"
"As Kh Qd","1","UTG_RESPONSE","UTG","3c3d","1.85518","1","0","0","0","-4.731152","-13.404095","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","3c3h","1.85378","1","0","0","0","-4.749569","-13.56501","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","3c3s","1.86224","1","0","0","0","-4.702473","-13.456261","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","3cAc","19.1637","0.801602","0.198131","0.000267","0","0.127159","-1.414463","0.024816478208"
"As Kh Qd","1","UTG_RESPONSE","UTG","3d3h","1.84185","1","0","0","0","-4.495461","-13.373249","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","3d3s","1.84278","1","0","0","0","-4.632072","-13.728123","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","3dAd","20.6411","0","0.997565","0.002435","0","7.07694","6.12257","7.07461610905"
"As Kh Qd","1","UTG_RESPONSE","UTG","3h3s","1.8416","1","0","0","0","-4.662491","-13.876396","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","3hAh","21.0142","0","0.996626","0.003374","0","6.72179","5.7482","6.71850510734"
"As Kh Qd","1","UTG_RESPONSE","UTG","4c4d","3.42104","1","0","0","0","-4.948067","-13.84753","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","4c4h","3.41466","1","0","0","0","-5.037788","-14.083385","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","4c4s","3.42826","1","0","0","0","-4.718754","-14.223557","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","4c5c","7.02303","1","0","0","0","-11.813992","-20.564503","0"
"As Kh Qd","1","UTG_RESPONSE","UTG","4cAc","18.9384","0.772421","0.225481","0.002098","0","0.157936","-0.867844","0.033790830504"
